rent_price,deposit_cost,year_built,floor,size,type,location,prefecture
99000,0,2015,1/4F,60.00,1LDK Apartment,"TeradochoMuko-shi, Kyoto",Kyoto
68500,50000,1988,3/3F,26.30,1R Apartment,"TanakachoKyoto-shi Nakagyo-ku,",Kyoto
69000,0,2017,2/2F,27.25,1K Apartment,Sagadaikakujimonzen donomaechoKyoto-shi,Kyoto
69000,0,2004,2/2F,19.87,1K Apartment,"NosochoKyoto-shi Fushimi-ku,",Kyoto
85500,50000,1998,5/7F,25.80,1K Apartment,"SatakechoKyoto-shi Shimogyo-ku,",Kyoto
58500,50000,1988,2/3F,19.84,1R Apartment,Ichijoji nishimizuboshichoKyoto-shi,Kyoto
65000,50000,1997,3/4F,18.00,1R Apartment,"NyosuichoKyoto-shi Kamigyo-ku,",Kyoto
70000,50000,1997,2/10F,17.10,1K Apartment,"MyodenjichoKyoto-shi Shimogyo-ku,",Kyoto
66500,50000,1984,3/4F,21.02,1K Apartment,"HonkawarachoKyoto-shi Higashiyama-ku,",Kyoto
66000,50000,1985,4/5F,18.00,1R Apartment,Tanaka monzenchoKyoto-shi,Kyoto
56500,50000,1992,4/4F,18.00,1R Apartment,Takeda KitamitsuguichoKyoto-shi,Kyoto
65000,0,2010,1/2F,19.87,1K Apartment,"TsukinukechoKyoto-shi Kamigyo-ku,",Kyoto
68500,50000,1981,4/4F,18.00,1R Apartment,"FudochoKyoto-shi Nakagyo-ku,",Kyoto
63000,50000,1989,2/2F,18.76,1K Apartment,"HigashitatsumichoKyoto-shi Kamigyo-ku,",Kyoto
69000,50000,1990,3/5F,18.90,1R Apartment,"YamamotochoKyoto-shi Nakagyo-ku,",Kyoto
67000,0,2009,2/3F,19.87,1K Apartment,"ChoshiNagaokakyo-shi, Kyoto",Kyoto
72000,0,2008,2/2F,19.87,1K Apartment,Tanaka satonochichoKyoto-shi,Kyoto
64000,50000,1994,2/3F,17.26,1R Apartment,"SaneichoKyoto-shi Kamigyo-ku,",Kyoto
68500,50000,1988,3/9F,18.48,1K Apartment,"KannonchoKyoto-shi Nakagyo-ku,",Kyoto
58000,0,2007,2/2F,19.87,1K Apartment,"Yawata jikuYawata-shi,",Kyoto
46000,0,2002,2/2F,20.28,1K Apartment,Fukakusaokamedani higashifurugokochoKyoto-shi,Kyoto
73000,0,2008,1/3F,19.87,1K Apartment,Mibu shimomizochoKyoto-shi,Kyoto
47000,0,1998,1/2F,18.48,1K Apartment,"FukakusasujikaibashiminamiKyoto-shi Fushimi-ku,",Kyoto
66000,0,2007,1/3F,19.87,1K Apartment,Mibu kamiotakechoKyoto-shi,Kyoto
69000,0,2017,2/2F,23.65,1K Apartment,"ImazatoNagaokakyo-shi, Kyoto",Kyoto
53000,0,2004,2/2F,19.87,1K Apartment,"MiyamakiKyotanabe-shi, Kyoto",Kyoto
61000,0,2010,1/2F,19.87,1K Apartment,Takano shimizuchoKyoto-shi,Kyoto
67000,0,2009,1/3F,20.81,1K Apartment,Kawashima choshichoKyoto-shi,Kyoto
52000,0,2006,2/2F,19.87,1K Apartment,Ogurisu nakayamadachoKyoto-shi,Kyoto
61000,0,2009,2/3F,19.87,1K Apartment,Mibu shimomizochoKyoto-shi,Kyoto
44000,0,2006,1/3F,19.87,1K Apartment,"TafuseSaga-shi, Saga",Saga
34000,0,2004,1/2F,22.35,1K Apartment,"YaemizoSaga-shi, Saga",Saga
37550,0,2005,2/2F,23.18,1K Apartment,"Honjomachi honjoSaga-shi,",Saga
40550,0,2005,2/2F,26.08,1K Apartment,"Honjomachi honjoSaga-shi,",Saga
38000,0,1982,3/5F,53.96,2LDK Apartment,"Ogimachi matsuoOgi-shi,",Saga
35000,0,1982,4/5F,53.96,3DK Apartment,"Ogimachi matsuoOgi-shi,",Saga
35000,0,1982,4/5F,53.96,3DK Apartment,"Ogimachi matsuoOgi-shi,",Saga
51000,0,1967,2/4F,57.96,3DK Apartment,"ShukumachiTosu-shi, Saga",Saga
35000,0,1982,4/5F,53.96,3DK Apartment,"Ogimachi matsuoOgi-shi,",Saga
38000,0,1982,3/5F,53.96,2LDK Apartment,"Ogimachi matsuoOgi-shi,",Saga
48000,0,1975,1/5F,38.46,2DK Apartment,"ShintenchoImari-shi, Saga",Saga
38000,0,1979,5/5F,53.96,3DK Apartment,"Hasuikemachi kogaSaga-shi,",Saga
40000,0,1982,1/5F,53.96,3DK Apartment,"Ogimachi matsuoOgi-shi,",Saga
39000,0,1979,3/5F,53.96,3DK Apartment,"Hasuikemachi kogaSaga-shi,",Saga
43000,0,1979,2/5F,53.96,3DK Apartment,"Hasuikemachi kogaSaga-shi,",Saga
45500,0,2008,1/4F,19.87,1K Apartment,"ShimmachiKumamoto-shi, Kumamoto",Kumamoto
51500,0,2008,4/4F,19.87,1K Apartment,"NihongiKumamoto-shi, Kumamoto",Kumamoto
43050,0,1998,2/2F,19.87,1K Apartment,"MinamikumamotoKumamoto-shi Chuo-ku,",Kumamoto
45050,0,2008,2/4F,19.87,1K Apartment,"MukaemachiKumamoto-shi Chuo-ku,",Kumamoto
49550,0,2000,2/2F,49.68,2DK Apartment,Shimizu kameimachiKumamoto-shi,Kumamoto
41050,0,2009,2/2F,19.87,1K Apartment,"KasugaKumamoto-shi, Kumamoto",Kumamoto
55050,0,2000,2/2F,49.68,2DK Apartment,"ShinnabeKumamoto-shi, Kumamoto",Kumamoto
50550,0,2008,3/4F,19.87,1K Apartment,"MinamikumamotoKumamoto-shi, Kumamoto",Kumamoto
42050,0,2006,2/2F,20.28,1K Apartment,"KotohirahommachiKumamoto-shi, Kumamoto",Kumamoto
65050,0,2000,2/2F,49.68,2DK Apartment,"KasugaKumamoto-shi, Kumamoto",Kumamoto
43050,0,2008,1/4F,19.87,1K Apartment,"HonjomachiKumamoto-shi, Kumamoto",Kumamoto
44050,0,2010,1/2F,19.87,1K Apartment,"KurokamiKumamoto-shi, Kumamoto",Kumamoto
52050,0,1997,3/3F,33.12,1DK Apartment,"IdenakamaKumamoto-shi, Kumamoto",Kumamoto
40550,0,2008,1/2F,19.87,1K Apartment,"KotohiraKumamoto-shi, Kumamoto",Kumamoto
57550,0,2010,2/2F,50.65,2LDK Apartment,"FukushomachiYatsushiro-shi, Kumamoto",Kumamoto
35000,0,1975,2/5F,38.06,2DK Apartment,"ChikamiKumamoto-shi Minami-ku,",Kumamoto
37000,0,1975,3/5F,38.06,2DK Apartment,"ChikamiKumamoto-shi Minami-ku,",Kumamoto
36000,0,1979,4/5F,39.83,2DK Apartment,Uekimachi iwanoKumamoto-shi,Kumamoto
45000,0,1991,2/5F,53.08,2LDK Apartment,Jonammachi mainoharaKumamoto-shi,Kumamoto
53000,0,2000,5/5F,53.08,2LDK Apartment,"KasugaKumamoto-shi Nishi-ku,",Kumamoto
36000,0,1975,1/5F,38.06,2DK Apartment,"ChikamiKumamoto-shi Minami-ku,",Kumamoto
40000,0,1981,2/5F,53.96,3DK Apartment,"Shiranuhimachi koraUki-shi,",Kumamoto
58000,0,2000,3/5F,53.08,2LDK Apartment,"KasugaKumamoto-shi Nishi-ku,",Kumamoto
41050,0,2000,2/2F,20.28,1K Apartment,"KurokamiKumamoto-shi, Kumamoto",Kumamoto
54000,0,2000,5/5F,53.08,2LDK Apartment,"KasugaKumamoto-shi Nishi-ku,",Kumamoto
35000,0,1975,3/5F,38.06,1LDK Apartment,"ChikamiKumamoto-shi Minami-ku,",Kumamoto
45000,0,1981,2/5F,53.96,3DK Apartment,"Shiranuhimachi koraUki-shi,",Kumamoto
58050,0,2008,2/2F,54.82,2DK Apartment,"Ogawamachi egashiraUki-shi,",Kumamoto
36000,0,1975,1/5F,38.06,2DK Apartment,"ChikamiKumamoto-shi Minami-ku,",Kumamoto
56000,0,2000,1/5F,53.08,3DK Apartment,"KasugaKumamoto-shi Nishi-ku,",Kumamoto
54550,0,2000,2/2F,49.68,2DK Apartment,"SanjochoTakamatsu-shi, Kagawa",Kagawa
44550,0,2000,2/2F,49.68,2DK Apartment,"FuseishichoTakamatsu-shi, Kagawa",Kagawa
44550,0,2000,2/2F,49.68,2DK Apartment,"KitachoTakamatsu-shi, Kagawa",Kagawa
48050,0,2010,2/2F,46.94,1LDK Apartment,"Kokubunjicho niiTakamatsu-shi,",Kagawa
46050,0,2011,2/2F,56.45,2LDK Apartment,"EnzachoTakamatsu-shi, Kagawa",Kagawa
50050,0,2004,2/2F,26.08,1K Apartment,"Ota shimomachiTakamatsu-shi,",Kagawa
49050,0,2000,2/2F,49.68,2DK Apartment,"KitachoTakamatsu-shi, Kagawa",Kagawa
35000,0,1994,5/5F,53.08,2LDK Apartment,"ZotanomadaSanuki-shi, Kagawa",Kagawa
30000,0,1981,1/5F,53.96,3DK Apartment,"KamoshoSanuki-shi, Kagawa",Kagawa
38000,0,1994,1/5F,53.08,3DK Apartment,"ZotanomadaSanuki-shi, Kagawa",Kagawa
48550,0,2001,2/2F,23.18,1K Apartment,"ChokushichoTakamatsu-shi, Kagawa",Kagawa
22000,0,1981,5/5F,53.96,3DK Apartment,"KamoshoSanuki-shi, Kagawa",Kagawa
22000,0,1981,5/5F,53.96,3DK Apartment,"KamoshoSanuki-shi, Kagawa",Kagawa
29000,0,1975,3/5F,33.61,2K Apartment,"KiraiHigashikagawa-shi, Kagawa",Kagawa
26000,0,1975,3/5F,33.61,2K Apartment,"KiraiHigashikagawa-shi, Kagawa",Kagawa
28000,0,1975,4/5F,33.61,2K Apartment,"KiraiHigashikagawa-shi, Kagawa",Kagawa
22000,0,1981,5/5F,53.96,3DK Apartment,"KamoshoSanuki-shi, Kagawa",Kagawa
31000,0,1975,2/5F,33.61,2K Apartment,"KiraiHigashikagawa-shi, Kagawa",Kagawa
27000,0,1975,4/5F,33.61,2K Apartment,"KiraiHigashikagawa-shi, Kagawa",Kagawa
29000,0,1975,2/5F,33.61,2K Apartment,"KiraiHigashikagawa-shi, Kagawa",Kagawa
